customer_id,age,gender,income,region,visits_last_month,online_purchases,store_purchases,total_spending,loyalty_member
1000,56,Male,68518,Midwest,3,1,2,290.78,No
1001,69,Male,60383,West,4,2,3,417.69,Yes
1002,46,Male,47170,Northeast,3,4,3,430.84,Yes
1003,32,Female,69757,West,7,2,3,444.57,No
1004,60,Female,96087,Northeast,6,0,3,378.79,No
1005,25,Male,56182,Northeast,0,3,1,382.77,No
1006,38,Female,74395,South,2,0,3,234.99,No
1007,56,Female,34135,Midwest,7,2,4,438.69,No
1008,36,Male,40871,Midwest,2,3,2,347.5,No
1009,40,Female,69448,Midwest,3,3,2,426.25,No
1010,28,Male,89682,Northeast,7,3,7,986.86,No
1011,28,Male,67112,Midwest,2,1,1,285.68,No
1012,41,Female,53739,South,3,2,10,1047.45,No
1013,53,Female,59986,Northeast,2,2,1,227.63,No
1014,57,Female,34992,Northeast,5,0,0,39.12,No
1015,41,Male,72090,Northeast,1,0,3,176.38,No
1016,20,Male,77647,Northeast,4,2,3,468.55,Yes
1017,39,Female,50958,South,2,2,3,420.99,No
1018,19,Female,50599,Midwest,4,3,3,444.05,Yes
1019,41,Female,65318,South,4,3,4,588.41,Yes
1020,61,Female,51266,Midwest,3,1,1,215.47,No
1021,47,Male,58677,South,3,2,3,346.95,Yes
1022,55,Female,101994,West,3,1,5,734.0,Yes
1023,19,Male,55059,West,4,1,2,274.35,Yes
1024,38,Male,52833,West,4,0,3,300.16,Yes
1025,50,Female,47049,West,3,3,2,591.08,Yes
1026,29,Female,74884,Northeast,5,2,1,334.45,No
1027,39,Female,56376,Northeast,3,2,2,333.29,No
1028,61,Male,47013,South,5,0,5,553.95,Yes
1029,42,Female,86426,South,1,3,3,521.7,No
1030,66,Female,88392,West,6,2,1,282.98,No
1031,44,Male,47992,Midwest,6,3,1,426.91,Yes
1032,59,Female,22669,West,2,2,5,282.4,No
1033,45,Male,80150,South,6,5,2,614.35,Yes
1034,33,Female,46307,West,6,3,3,464.76,No
1035,32,Male,75813,South,4,0,5,334.6,Yes
1036,64,Female,20598,West,2,3,0,186.15,No
1037,68,Female,77852,Midwest,3,2,5,766.39,Yes
1038,61,Male,35777,West,5,4,3,595.33,Yes
1039,69,Male,74615,Midwest,3,2,1,355.78,Yes
1040,20,Female,60285,Midwest,1,4,2,520.62,No
1041,54,Male,40921,South,3,4,3,645.2,Yes
1042,68,Male,51859,Midwest,4,2,4,510.03,Yes
1043,24,Male,73726,Northeast,4,2,4,616.03,Yes
1044,38,Male,62118,Northeast,5,3,3,547.85,Yes
1045,26,Female,71688,Northeast,4,2,2,496.89,No
1046,56,Female,99529,South,1,2,1,399.52,Yes
1047,35,Male,28715,Northeast,4,3,6,495.32,No
1048,21,Male,92344,South,2,3,5,508.74,Yes
1049,42,Male,62087,South,4,2,0,254.44,Yes
1050,31,Male,42024,Northeast,2,2,1,378.9,Yes
1051,67,Female,33394,Midwest,3,2,3,456.56,No
1052,26,Female,56218,West,2,4,5,775.6,No
1053,43,Male,78433,South,4,4,1,285.49,Yes
1054,19,Male,57449,Northeast,3,3,3,627.06,No
1055,37,Male,90223,South,6,2,5,828.46,No
1056,45,Female,30976,Midwest,3,4,1,381.97,Yes
1057,64,Male,59758,Midwest,6,2,3,295.62,No
1058,24,Female,34952,Northeast,2,2,2,413.18,Yes
1059,61,Male,67273,South,5,6,5,890.75,Yes
1060,25,Female,77738,West,4,1,4,457.88,Yes
1061,64,Male,51585,West,7,0,1,133.45,No
1062,52,Female,20000,South,4,1,6,549.8,Yes
1063,31,Male,63979,South,2,1,2,334.92,Yes
1064,34,Male,68735,South,4,2,2,420.35,Yes
1065,53,Male,68086,Northeast,8,0,4,377.92,Yes
1066,67,Female,84716,Midwest,3,5,1,653.6,Yes
1067,57,Male,38579,West,2,4,3,661.35,No
1068,21,Female,73604,Northeast,5,3,3,512.79,Yes
1069,19,Female,83850,South,4,2,3,550.16,No
1070,23,Male,24428,South,2,1,3,302.01,Yes
1071,59,Male,66393,Midwest,6,2,4,426.41,No
1072,21,Male,49916,South,3,3,4,389.54,Yes
1073,46,Female,58370,Northeast,2,4,3,693.15,No
1074,35,Male,66954,Northeast,8,1,3,237.35,No
1075,43,Female,50255,Midwest,5,0,4,352.86,Yes
1076,61,Female,46486,Northeast,4,1,3,369.9,No
1077,51,Male,60683,West,2,0,2,143.58,Yes
1078,27,Male,38255,Northeast,3,2,3,523.6,Yes
1079,53,Male,38283,Northeast,6,2,3,401.47,No
1080,31,Male,73587,Northeast,0,0,2,201.12,Yes
1081,48,Male,37024,West,3,0,3,248.84,Yes
1082,65,Male,73326,South,3,0,3,255.23,Yes
1083,32,Female,69252,Northeast,5,0,4,399.92,Yes
1084,25,Female,25484,Midwest,0,2,7,528.79,No
1085,31,Female,46449,West,5,3,3,582.35,Yes
1086,40,Male,83882,Midwest,4,2,4,540.03,Yes
1087,57,Female,40377,Northeast,2,2,3,264.5,Yes
1088,38,Female,50712,Midwest,4,3,4,572.57,Yes
1089,33,Female,69241,Northeast,6,2,4,394.59,No
1090,62,Female,75668,West,8,3,2,523.82,No
1091,35,Female,54969,Midwest,3,3,3,584.22,Yes
1092,64,Male,48050,Midwest,2,3,3,519.69,No
1093,41,Male,88447,Northeast,3,2,1,436.94,Yes
1094,43,Female,94778,Northeast,3,0,1,128.9,Yes
1095,42,Female,79577,South,2,4,2,443.36,No
1096,62,Female,61706,Northeast,1,1,2,325.98,No
1097,58,Male,43835,Northeast,7,2,4,500.44,No
1098,46,Male,43391,South,5,3,2,559.7,No
1099,32,Female,70450,Northeast,8,5,2,718.72,Yes
1100,62,Male,68368,Northeast,3,1,3,314.66,No
1101,18,Male,88032,South,4,2,2,371.69,Yes
1102,42,Female,73009,West,5,2,1,249.78,No
1103,24,Male,29938,West,7,3,3,303.2,Yes
1104,26,Male,81039,Northeast,5,3,2,352.81,No
1105,41,Female,40039,Northeast,1,1,2,244.37,No
1106,18,Male,52321,South,3,4,2,628.89,Yes
1107,61,Male,65004,South,3,2,5,491.26,Yes
1108,25,Female,99913,West,7,3,2,562.27,Yes
1109,41,Male,122198,Midwest,3,1,2,288.37,No
1110,28,Male,72134,Northeast,4,3,3,657.67,Yes
1111,68,Female,56336,Midwest,0,1,3,370.81,Yes
1112,34,Female,70690,Midwest,4,1,4,504.27,No
1113,25,Female,77753,South,3,1,3,388.42,No
1114,52,Male,53587,Northeast,4,4,4,830.14,No
1115,52,Female,95904,Northeast,4,2,3,386.44,Yes
1116,50,Male,64601,South,2,0,1,117.13,No
1117,22,Female,69955,Midwest,6,1,3,244.37,No
1118,59,Male,73318,South,5,4,3,599.17,No
1119,56,Female,68432,West,4,1,1,185.14,Yes
1120,58,Female,76779,Northeast,2,1,3,304.43,No
1121,45,Female,47655,West,5,3,2,511.21,No
1122,24,Female,48834,South,1,0,0,60.56,No
1123,26,Male,37997,Northeast,4,1,0,115.79,Yes
1124,25,Female,68790,West,5,1,2,332.84,Yes
1125,29,Female,75579,West,0,2,4,555.89,No
1126,51,Male,69155,Midwest,3,2,2,427.11,Yes
1127,50,Female,93490,Northeast,1,1,4,558.01,No
1128,65,Male,59888,West,3,2,1,338.76,Yes
1129,40,Female,73375,West,3,1,3,352.19,Yes
1130,41,Female,38166,Midwest,1,2,3,269.23,Yes
1131,54,Female,52258,West,2,2,0,257.88,Yes
1132,52,Male,73911,West,6,4,1,599.83,No
1133,61,Female,76982,West,7,1,4,328.41,Yes
1134,57,Female,54121,Midwest,2,4,3,481.22,No
1135,39,Female,58568,West,5,3,1,465.43,No
1136,44,Male,29643,West,3,3,1,353.93,Yes
1137,52,Male,52859,Northeast,5,1,4,518.45,No
1138,18,Female,77808,Northeast,0,3,3,508.75,No
1139,52,Male,71504,Midwest,5,2,6,421.99,No
1140,54,Female,70013,South,2,2,5,704.56,No
1141,64,Female,60995,Northeast,1,1,3,357.79,Yes
1142,31,Female,60141,Midwest,1,1,3,464.42,Yes
1143,20,Female,46794,West,4,0,2,192.07,Yes
1144,18,Female,73977,West,1,3,2,520.58,Yes
1145,22,Female,68419,Midwest,4,3,1,406.16,Yes
1146,43,Female,69840,West,4,3,0,352.57,No
1147,31,Male,49479,West,2,1,6,385.84,Yes
1148,56,Male,20000,South,3,1,1,183.15,Yes
1149,44,Male,81943,West,3,1,4,245.22,Yes
1150,26,Male,50423,Northeast,7,6,4,869.18,Yes
1151,32,Male,42744,West,5,3,1,331.93,No
1152,32,Male,73870,Midwest,5,1,5,487.87,No
1153,43,Male,52160,South,2,4,2,720.58,Yes
1154,59,Female,81199,West,0,1,4,514.38,Yes
1155,30,Female,72340,Midwest,3,1,1,225.38,Yes
1156,68,Female,73671,Northeast,4,2,3,433.91,No
1157,49,Female,32681,West,7,0,8,785.87,No
1158,56,Male,84239,South,3,2,4,507.64,Yes
1159,66,Male,65225,West,5,0,0,120.46,No
1160,69,Female,52614,Midwest,3,1,4,482.09,No
1161,49,Female,62868,South,5,3,6,571.14,Yes
1162,21,Male,24475,West,3,3,2,389.52,No
1163,47,Female,68173,Northeast,3,2,4,483.51,Yes
1164,54,Female,39413,South,3,1,1,231.06,No
1165,40,Female,32947,Northeast,2,0,1,85.36,Yes
1166,56,Female,29553,Midwest,1,2,2,333.41,Yes
1167,62,Male,82254,West,6,1,2,344.69,No
1168,32,Female,47415,Northeast,5,2,4,397.88,Yes
1169,60,Female,90675,Midwest,6,4,3,601.52,No
1170,46,Male,49284,West,4,1,1,201.68,Yes
1171,53,Male,25853,Midwest,2,4,5,814.19,No
1172,30,Female,37670,Northeast,5,0,6,418.63,Yes
1173,49,Male,84716,Midwest,6,1,3,301.59,No
1174,24,Female,56882,South,6,0,3,349.17,Yes
1175,68,Female,49034,West,7,1,3,264.99,Yes
1176,39,Male,63200,Midwest,5,1,5,621.24,No
1177,45,Female,70036,Northeast,2,5,2,324.93,No
1178,19,Female,82348,West,3,1,3,498.72,Yes
1179,59,Female,88970,South,4,1,4,391.16,Yes
1180,62,Female,52805,West,4,0,3,227.68,Yes
1181,23,Male,33479,South,2,3,3,506.55,Yes
1182,45,Male,51731,West,5,2,3,414.31,No
1183,45,Female,65206,Midwest,4,2,0,223.31,Yes
1184,61,Male,40725,Midwest,3,2,0,253.18,No
1185,61,Female,40857,Northeast,4,3,3,656.27,Yes
1186,37,Female,66876,South,6,1,6,405.81,Yes
1187,47,Female,59027,Northeast,3,1,6,724.04,Yes
1188,28,Female,60656,Midwest,2,1,2,243.72,No
1189,45,Female,44830,South,5,3,5,636.39,Yes
1190,42,Male,55392,Northeast,5,4,2,519.43,Yes
1191,56,Female,41515,Northeast,5,3,3,536.42,Yes
1192,50,Male,77804,Northeast,3,0,0,89.25,No
1193,18,Male,80705,Northeast,7,3,2,467.23,Yes
1194,44,Female,23076,Northeast,3,3,4,390.9,No
1195,69,Female,41410,South,3,0,3,212.29,No
1196,30,Female,30069,Northeast,2,3,6,789.08,Yes
1197,58,Female,47000,South,5,4,4,622.31,No
1198,20,Female,58331,Northeast,3,1,4,344.5,Yes
1199,56,Male,31007,Midwest,4,3,5,590.02,No
1200,23,Female,41563,Midwest,4,2,5,344.45,Yes
1201,25,Female,39921,Northeast,4,1,0,82.27,Yes
1202,44,Male,64145,West,4,5,4,857.68,No
1203,26,Male,61387,Midwest,5,1,2,273.9,No
1204,54,Female,45565,South,4,0,3,316.74,No
1205,50,Male,63536,Northeast,6,2,5,628.37,No
1206,68,Female,49066,South,4,1,2,335.45,Yes
1207,59,Male,54567,West,1,4,3,658.91,Yes
