customer_id,age,gender,income,region,visits_last_month,online_purchases,store_purchases,total_spending,loyalty_member
2000,63.0,Male,67797.0,West,4,0,3,124.52,Yes
2001,20.0,Male,72436.0,West,4,3,1,282.06,Yes
2002,46.0,Male,56264.0,Northeast,3,0,3,118.43,No
2003,52.0,Male,36667.0,Midwest,5,4,4,491.26,Yes
2004,56.0,Male,64578.0,West,5,1,3,279.27,No
2005,35.0,Male,38170.0,West,5,0,1,51.76,No
2006,37.0,Male,88209.0,Midwest,4,3,7,686.71,Yes
2007,60.0,Male,57349.0,Northeast,3,3,2,301.48,Yes
2008,40.0,Female,48888.0,South,3,1,6,610.86,Yes
2009,51.0,Male,46801.0,Northeast,3,2,5,702.62,No
2010,50.0,Female,54355.0,West,0,2,2,348.6,Yes
2011,67.0,Female,49322.0,South,4,2,6,508.38,No
2012,65.0,Male,41243.0,Northeast,6,2,5,381.67,Yes
2013,27.0,Female,18979.0,West,3,3,9,649.59,Yes
2014,50.0,Female,60611.0,South,2,3,3,394.79,No
2015,64.0,Male,78810.0,West,3,2,1,180.14,No
2016,50.0,Male,59304.0,Midwest,1,1,4,481.23,No
2017,65.0,Female,35216.0,West,5,1,3,256.18,Yes
2018,43.0,Male,16654.0,Northeast,4,4,2,558.6,Yes
2019,37.0,Female,63129.0,South,11,2,2,256.81,No
2020,,Male,23914.0,South,2,2,3,352.43,No
2021,54.0,Female,77994.0,Northeast,5,1,2,,Yes
2022,50.0,Female,74428.0,Midwest,9,4,6,508.79,No
2023,34.0,Male,51597.0,Northeast,6,0,3,196.66,No
2024,-5.0,Female,65586.0,Northeast,5,2,2,284.1,Yes
2025,67.0,Male,3359.0,Midwest,4,2,2,349.21,No
2026,21.0,Male,92720.0,Northeast,0,2,1,298.55,No
2027,20.0,Female,92578.0,Northeast,6,2,1,273.72,Yes
2028,38.0,Male,89767.0,Northeast,2,0,6,424.41,No
2029,57.0,Female,72927.0,West,5,2,1,175.88,No
2030,20.0,Female,79876.0,South,3,3,3,606.79,No
2031,38.0,Female,45360.0,Northeast,1,2,5,583.13,No
2032,65.0,Female,81402.0,Northeast,4,2,6,677.68,No
2033,66.0,Female,62266.0,West,7,2,4,393.87,No
2034,25.0,Male,81699.0,Midwest,5,4,1,362.01,Yes
2035,,Female,55522.0,South,1,2,2,299.83,No
2036,53.0,Male,79184.0,West,4,3,4,467.99,Yes
2037,46.0,Male,,Northeast,3,3,0,224.0,Yes
2038,56.0,Male,60732.0,Northeast,5,0,2,63.21,No
2039,51.0,Male,52580.0,South,4,3,2,348.04,Yes
2040,39.0,Female,38832.0,West,4,3,3,560.52,No
2041,,Female,44356.0,Midwest,4,3,1,358.15,Yes
2042,45.0,Male,74111.0,Midwest,1,1,2,147.2,No
2043,52.0,Male,51030.0,South,7,3,1,,Yes
2044,51.0,Male,76215.0,West,3,5,5,646.94,Yes
2045,30.0,Male,40951.0,Midwest,8,0,1,50.65,No
2046,58.0,Male,52750.0,Midwest,3,3,1,335.77,No
2047,21.0,Female,56910.0,Northeast,1,2,3,443.93,No
2048,60.0,Female,61520.0,West,1,0,3,296.34,Yes
2049,23.0,Male,82321.0,Northeast,3,2,4,393.76,No
2050,18.0,Female,61207.0,Midwest,7,2,5,478.91,No
2051,29.0,Female,62558.0,West,6,1,1,140.77,No
2052,52.0,Male,73920.0,South,7,0,4,267.34,No
